2020-07-03 09:27:31.619  INFO [shop,,,] 20488 --- [Thread-86] .b.c.e.AwaitingNonWebApplicationListener :  [Dubbo] Current Spring Boot Application is about to shutdown...
2020-07-03 09:27:31.709  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.category.CategoryService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.category.CategoryService&lazy=false&methods=getNavById,delOption,getNewMetaAttrOption,updateBrand,getNavMetaByMetaClassId,updateAttr,getOption,getNavByIdList,makeAttrText,selectSuperPubNav,getAttr,listCategory,sort,sortNavMeta,addMetaOption,addAttr,addNavMeta,sortAttrByClassIdAndAttrName,updateMeta,getAllCategory,getMetaByMetaclassId,addMeta,delNavMeta,delAttr,parseAttrText,updateNav,delBrand,addBrand,addMetaAttr,getAll,getMetaAttrOption,getBrand,delMetaAttr,getPathByNavId,delMeta,updateNavByIdCondition,getClassIdForHere,addOption,updateOption,getMetaAttr,queryNavByIdList,getNavMeta,getNavMetaClassList,addNav,getMeta,getNavByMeta,delMetaAttrOption,getAllMeta,delNav,getCategoryByIdList&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748577, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.709  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.address.AddressInfoService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.address.AddressInfoService&lazy=false&methods=GetProvinceList,GetDistrictList,getCityData,GetProvinceList2,GetDCinfoWithAddress,GetCityList,selectByCityName&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748139, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.713  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.address.AddressInfoService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.address.AddressInfoService&lazy=false&methods=GetProvinceList,GetDistrictList,getCityData,GetProvinceList2,GetDCinfoWithAddress,GetCityList,selectByCityName&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748139, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.714  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.commodity.shop.ShopSpuService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.commodity.shop.ShopSpuService&lazy=false&methods=queryCateBySpuAndShopId,cateAssociationSpu,delete,shopSpuPage,deleteEsByIds,selectShopSpu,querySpuByCatePageInfo,initToES,updateProductTimeOrDistributeTime,createShopSpu,updateShopSpuProduceInfo,saveSpuShop,getShopProductTimeBySpuId,displayed,getSpuInfoBySpuShopId,getBigShopSeatSelectAreaSpus,deleteAll,selectList,saveOneShopSpuEsData,updateShopSpuProductInfoByBatch,removeShoSpu,shopSpuPageWithDisCountPrice,distributeProductToSubShop,transferCateSpu,querySpuByCate,deleteById&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691751175, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.720  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.commodity.shop.ShopSpuService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.commodity.shop.ShopSpuService&lazy=false&methods=queryCateBySpuAndShopId,cateAssociationSpu,delete,shopSpuPage,deleteEsByIds,selectShopSpu,querySpuByCatePageInfo,initToES,updateProductTimeOrDistributeTime,createShopSpu,updateShopSpuProduceInfo,saveSpuShop,getShopProductTimeBySpuId,displayed,getSpuInfoBySpuShopId,getBigShopSeatSelectAreaSpus,deleteAll,selectList,saveOneShopSpuEsData,updateShopSpuProductInfoByBatch,removeShoSpu,shopSpuPageWithDisCountPrice,distributeProductToSubShop,transferCateSpu,querySpuByCate,deleteById&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691751175, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.720  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unregister: consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.fileupload.ImageHandleService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.fileupload.ImageHandleService&lazy=false&methods=resizeWaterMake,uploadFile,downloadImgToString,imageUpload,uploadFileUrlTransform&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=10000&timestamp=1593691748746, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.734  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unregister url consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.fileupload.ImageHandleService?application=shop&category=consumers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.fileupload.ImageHandleService&lazy=false&methods=resizeWaterMake,uploadFile,downloadImgToString,imageUpload,uploadFileUrlTransform&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=10000&timestamp=1593691748746, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.735  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unsubscribe: consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.order.AngsiOrderServiceMs?application=shop&category=providers,configurators,routers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.order.AngsiOrderServiceMs&lazy=false&methods=getBookingSkuCount,transfer,getOrderListByShopId,getBDeal,updateComment&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748281, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.735  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Destroy unsubscribe url consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.order.AngsiOrderServiceMs?application=shop&category=providers,configurators,routers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.order.AngsiOrderServiceMs&lazy=false&methods=getBookingSkuCount,transfer,getOrderListByShopId,getBDeal,updateComment&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748281, dubbo version: 2.7.3, current host: 192.168.10.23
2020-07-03 09:27:31.735  INFO [shop,,,] 20488 --- [Thread-86] o.a.dubbo.registry.nacos.NacosRegistry   :  [DUBBO] Unsubscribe: consumer://192.168.10.23/com.vmcshop.mall.dubbo.api.address.AddressInfoService?application=shop&category=providers,configurators,routers&check=false&cluster=failfast&dubbo=2.0.2&interface=com.vmcshop.mall.dubbo.api.address.AddressInfoService&lazy=false&methods=GetProvinceList,GetDistrictList,getCityData,GetProvinceList2,GetDCinfoWithAddress,GetCityList,selectByCityName&pid=20488&qos.enable=false&release=2.7.3&revision=2.0-SNAPSHOT&side=consumer&sticky=false&timeout=5000&timestamp=1593691748139, dubbo version: 2.7.3, current host: 192.168.10.23
